"6","12","18","24","106","112","118","124"
724,609,579,633,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
262,302,5,402,4000,349,324,361
463,499,612,584,4000,4000,4000,605
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
555,503,417,475,4000,1102,4000,716
484,515,680,699,4000,4000,4000,4000
487,526,672,550,4000,4000,4000,909
575,555,714,642,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
529,561,463,590,4000,4000,4000,387
362,337,640,553,556,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
478,490,515,488,4000,4000,4000,4000
