"6","12","18","24","106","112","118","124"
881.5,1156.5,913,1415.5,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
411.5,406,462.5,571.5,4000,4000,4000,4000
555,708,670,781,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
601.5,697,822,742.5,4000,4000,4000,4000
659.5,948.5,963,1168,4000,4000,4000,4000
810,1060,1143,1353.5,4000,4000,4000,4000
825.5,789,935.5,965.5,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
635,886.5,753,977,4000,4000,4000,4000
726,694,877,797.5,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
564.5,724.5,881,892.5,4000,4000,4000,4000
